fecha,venta,inflacion,emae
2019-01,392403,0.029,0.7
2019-02,304744,0.038,0.2
2019-03,394512,0.047,-1.3
2019-04,473505,0.034,0.2
2019-05,781627,0.031,-0.1
2019-06,588572,0.027,0.1
2019-07,746932,0.022,2.1
2019-08,857704,0.04,-0.6
2019-09,616219,0.059,-2.0
2019-10,704326,0.033,1.9
2019-11,604764,0.043,-1.4
2019-12,539970,0.037,0.1
2020-01,418279,0.023,0.1
2020-02,312210,0.02,-0.5
2020-03,411493,0.033,-10.5
2020-04,509539,0.015,-16.8
2020-05,747289,0.015,9.3
2020-06,744444,0.022,7.8
2020-07,845249,0.019,2.6
2020-08,701437,0.027,1.5
2020-09,650745,0.028,2.1
2020-10,575518,0.038,1.9
2020-11,638032,0.032,1.2
2020-12,626202,0.04,0.3
2021-01,563454,0.04,2.8
2021-02,388723,0.036,-0.6
2021-03,512905,0.048,0.8
2021-04,542254,0.041,-1.5
2021-05,687087,0.033,-1.1
2021-06,828760,0.032,2.8
2021-07,716249,0.03,1.3
2021-08,799919,0.025,1.4
2021-09,663228,0.035,0.9
2021-10,871596,0.035,-0.8
2021-11,634131,0.029,1.3
2021-12,762826,0.038,1.3
2022-01,646074,0.039,-0.7
2022-02,570163,0.047,1.1
2022-03,771781,0.067,-0.7
2022-04,695148,0.06,0.6
2022-05,880038,0.051,0.1
2022-06,950206,0.053,1.3
2022-07,1121136,0.074,0.5
2022-08,1005654,0.07,0.6
2022-09,788947,0.062,-0.3
2022-10,936940,0.063,-0.3
2022-11,909247,0.049,-0.7
2022-12,853294,0.051,-0.3
2023-01,725413,0.0603,1.2
2023-02,549981,0.0663,0.1
2023-03,609682,0.0768,-0.1
2023-04,750906,0.084,-2.0
2023-05,844803,0.078,-1.2
2023-06,927981,0.06,0.2
2023-07,1054444,0.063,2.2
2023-08,1256832,0.124,1.3
